"","Rank","Titulo","Runtime","Genero","Director","Actor"
"1",1,"The Night House",107,"Horror","David Bruckner","Rebecca Hall"
"2",2,"The Old Ways",90,"Fantasy","Christopher Alender","Brigitte Kali Canales"
"3",3,"The Courier",112,"Drama","Dominic Cooke","Benedict Cumberbatch"
"4",4,"Wonder Woman 1984",151,"Action","Patty Jenkins","Gal Gadot"
"5",5,"A Quiet Place Part II",97,"Drama","John Krasinski","Emily Blunt"
"6",6,"365 dni",114,"Drama","Barbara Bialowas","Anna Maria Sieklucka"
"7",7,"Tenet",150,"Action","Christopher Nolan","John David Washington"
"8",8,"What Is Life Worth",118,"Biography","Sara Colangelo","Michael Keaton"
"9",9,"El padre",97,"Drama","Florian Zeller","Anthony Hopkins"
"10",10,"Promising Young Woman",113,"Crime","Emerald Fennell","Carey Mulligan"
"11",11,"Boss Level",94,"Action","Joe Carnahan","Frank Grillo"
"12",12,"Aves de presa y la fantabulosa emancipación de una Harley Quinn",109,"Action","Cathy Yan","Margot Robbie"
"13",13,"Druk",117,"Comedy","Thomas Vinterberg","Mads Mikkelsen"
"14",14,"Love and Monsters",109,"Action","Michael Matthews","Dylan O'Brien"
"15",15,"Nomadland",107,"Drama","Chloé Zhao","Frances McDormand"
"16",16,"Welcome to the Blumhouse",90,"Horror","Joey King","Betty Gilpin"
"17",17,"The Hunt",102,"Action","Craig Zobel","Vince Vaughn"
"18",18,"Freaky: Este cuerpo está para matar",105,"Comedy","Christopher Landon","Josephine Langford"
"19",19,"After We Collided",90,"Drama","Roger Kumble","Andy Samberg"
"20",20,"Palm Springs",91,"Comedy","Max Barbakow","Keanu Reeves"
"21",21,"Bill & Ted Face the Music",116,"Adventure","Dean Parisot","Mads Mikkelsen"
"22",22,"Retfærdighedens ryttere",138,"Action","Anders Thomas Jensen","Tom Holland"
"23",23,"The Devil All the Time",95,"Crime","Antonio Campos","Jade Eshete"
"24",24,"Really Love",137,"Drama","Angel Kristi Williams","James Badge Dale"
"25",25,"The Empty Man",100,"Horror","David Prior","Jamie Foxx"
"26",26,"Soul",103,"Animation","Pete Docter","Milla Jovovich"
"27",27,"Monster Hunter",115,"Action","Paul W.S. Anderson","Liu Yifei"
"28",28,"Mulan",160,"Action","Niki Caro","Lin-Manuel Miranda"
"29",29,"Hamilton",119,"Biography","Thomas Kail","Gerard Butler"
"30",30,"Greenland",91,"Action","Ric Roman Waugh","Alfred Molina"
"31",31,"The Water Man",118,"Adventure","David Oyelowo","Rosamund Pike"
"32",32,"I Care a Lot",113,"Comedy","J Blakeson","Diane Lane"
"33",33,"Let Him Go",125,"Crime","Thomas Bezucha","Charlize Theron"
"34",34,"The Old Guard",117,"Action","Gina Prince-Bythewood","Eric Bana"
"35",35,"The Dry",115,"Crime","Robert Connolly","Akiko Iwase"
"36",36,"Minamata",109,"Drama","Andrew Levitas","Isabel May"
"37",37,"Run Hide Fight",101,"Crime","Kyle Rankin","Robert Downey Jr."
"38",38,"Dolittle",136,"Adventure","Stephen Gaghan","Pete Davidson"
"39",39,"The King of Staten Island",107,"Comedy","Judd Apatow","Jude Law"
"40",40,"The Nest",117,"Drama","Sean Durkin","Natsuki Hanae"
"41",41,"Kimetsu no Yaiba: Mugen Ressha-Hen",95,"Animation","Haruo Sotozaki","Nicolas Cage"
"42",42,"Los Croods 2: Una Nueva Era",90,"Animation","Joel Crawford","Sarah Paulson"
"43",43,"Run",94,"Mystery","Aneesh Chaganty","Maisie Williams"
"44",44,"Los nuevos mutantes",118,"Action","Josh Boone","Tom Hanks"
